locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_2934,Pariyāram,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,80.02
loc_2934,Pariyāram,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,93.77
loc_2939,Edavilangu,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,36.16
loc_2939,Edavilangu,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,64.53
loc_2939,Edavilangu,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,23.39
loc_2939,Edavilangu,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,64.53
loc_2939,Edavilangu,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,63.92
loc_2939,Edavilangu,port_02,Cochin Port,port,32.41
loc_2941,Killannur,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,74.63
loc_2941,Killannur,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,36.76
loc_2941,Killannur,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,95.64
loc_2941,Killannur,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,26.37
loc_2941,Killannur,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,36.76
loc_2941,Killannur,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,77.55
loc_2941,Killannur,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,95.64
loc_2941,Killannur,port_02,Cochin Port,port,70.9
loc_2942,Mundra,port_12,Deendayal Port,port,53.05
loc_2942,Mundra,port_13,Mundra Port,port,11.03
loc_2943,Byndoor,fh_18,Modernisation of Malpe Fishing Harbour,fishing_harbour,57.9
loc_2943,Byndoor,fh_19,Modernisation of Gangoli Fishing Harbour,fishing_harbour,24.61
loc_2943,Byndoor,fh_20,Maintenance Dredging at Amadalli Fishing Harbour,fishing_harbour,97.1
loc_2943,Byndoor,fh_21,Dredging work at Tadari Fishing Harbour,fishing_harbour,71.31
loc_2943,Byndoor,fh_23,Hejmadi Kodi Fishing Harbour,fishing_harbour,86.71
loc_2956,Kotivakkam,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,14.09
loc_2956,Kotivakkam,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,23.56
loc_2956,Kotivakkam,port_05,Chennai Port,port,13.3
loc_2956,Kotivakkam,port_11,Kamarajar Port,port,31.3
loc_2963,Pāttyam,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,55.97
loc_2963,Pāttyam,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,41.95
loc_2963,Pāttyam,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,74.27
loc_2963,Pāttyam,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,55.97
loc_2979,Cheppad,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,80.47
loc_2979,Cheppad,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,78.19
loc_2979,Cheppad,fh_30,Maintenance dredging of existing harbor in Kayamkulam,fishing_harbour,6.74
loc_2979,Cheppad,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,52.71
loc_2979,Cheppad,port_02,Cochin Port,port,84.24
loc_2988,Powai,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,23.21
loc_2988,Powai,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,23.44
loc_2988,Powai,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,68.59
loc_2988,Powai,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,72.18
loc_2988,Powai,port_00,Mumbai Port,port,21.37
loc_2988,Powai,port_01,Jawaharlal Nehru Port (JNPT),port,19.11
loc_2997,Kandalloor,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,86.74
loc_2997,Kandalloor,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,72.43
loc_2997,Kandalloor,fh_30,Maintenance dredging of existing harbor in Kayamkulam,fishing_harbour,3.19
loc_2997,Kandalloor,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,58.98
loc_2997,Kandalloor,port_02,Cochin Port,port,90.51
loc_3000,Sarigam INA,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,64.6
loc_3001,Kanjiramkulam,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,40.14
loc_3001,Kanjiramkulam,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,29.53
loc_3001,Kanjiramkulam,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,13.92
loc_3011,Sankaraperi,fh_62,Extension of T-Jetty at Tharuvaikulam,fishing_harbour,4.36
loc_3011,Sankaraperi,port_10,V.O. Chidambaranar Port,port,12.79
loc_3015,Kolavallúr,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,49.65
loc_3015,Kolavallúr,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,35.63
loc_3015,Kolavallúr,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,67.81
loc_3015,Kolavallúr,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,49.65
loc_3020,Raval,fh_11,3rd Stage of Mangarol Fishing Harbour,fishing_harbour,79.47
loc_3020,Raval,fh_12,Development of Fishery Harbour at Navabandar,fishing_harbour,48.17
loc_3020,Raval,fh_15,Development of Fishery Harbour Porbandar – Phase 2,fishing_harbour,33.74
loc_3020,Raval,port_13,Mundra Port,port,94.51
loc_3023,Kattanam,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,89.78
loc_3023,Kattanam,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,68.35
loc_3023,Kattanam,fh_30,Maintenance dredging of existing harbor in Kayamkulam,fishing_harbour,6.96
loc_3023,Kattanam,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,62.17
loc_3023,Kattanam,port_02,Cochin Port,port,93.51
loc_3028,Udangudi,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,90.15
loc_3028,Udangudi,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,98.19
loc_3028,Udangudi,fh_62,Extension of T-Jetty at Tharuvaikulam,fishing_harbour,45.12
loc_3028,Udangudi,port_10,V.O. Chidambaranar Port,port,40.79
loc_3029,Tirumeshi,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,26.31
loc_3029,Tirumeshi,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,31.99
loc_3029,Tirumeshi,port_05,Chennai Port,port,25.52
loc_3029,Tirumeshi,port_11,Kamarajar Port,port,36.74
loc_3031,Verukulambu,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,65.9
loc_3031,Verukulambu,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,13.7
loc_3031,Verukulambu,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,15.92
loc_3037,Mokēri,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,54.03
loc_3037,Mokēri,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,40.0
loc_3037,Mokēri,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,72.33
loc_3037,Mokēri,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,54.03
loc_3049,Mulakumūd,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,66.78
loc_3049,Mulakumūd,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,10.57
loc_3049,Mulakumūd,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,15.02
loc_3061,Methukummal,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,52.27
loc_3061,Methukummal,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,17.81
loc_3061,Methukummal,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,3.06
loc_3066,Singarāyakonda,fh_03,Development of Kothapatnam Fishing Harbour,fishing_harbour,29.07
loc_3066,Singarāyakonda,fh_05,Juvvaladinne Fishing Harbour,fishing_harbour,47.92
loc_3066,Singarāyakonda,fh_07,"Construction of Fishing Harbour, Vodarevu",fishing_harbour,38.66
loc_3066,Singarāyakonda,fh_09,"Construction of Fishing Harbour, Nizampattinam",fishing_harbour,99.91
loc_3067,Punnayūr,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,85.74
loc_3067,Punnayūr,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,14.92
loc_3067,Punnayūr,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,79.32
loc_3067,Punnayūr,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,93.35
loc_3067,Punnayūr,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,26.76
loc_3067,Punnayūr,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,14.92
loc_3067,Punnayūr,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,61.04
loc_3067,Punnayūr,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,79.32
loc_3067,Punnayūr,port_02,Cochin Port,port,82.0
loc_3072,Kakdwip,fh_63,Modernisation and upgradation of existing fishing harbour at Petuaghat,fishing_harbour,33.0
loc_3072,Kakdwip,fh_64,Modernisation and upgradation of existing fishing harbour at Shankarpur,fishing_harbour,69.48
loc_3072,Kakdwip,fh_65,Modernisation and upgradation of existing fishing harbour at Frasergunj,fishing_harbour,36.19
loc_3072,Kakdwip,fh_66,Modernisation and upgradation of existing fishing harbour at Kakdwip,fishing_harbour,1.17
loc_3072,Kakdwip,port_08,Kolkata Port,port,76.68
loc_3072,Kakdwip,port_09,Syama Prasad Mookerjee Port Haldia,port,21.56
loc_3082,Nimāparha,fh_47,Modernisation of Paradip Fishing Harbour,fishing_harbour,74.03
loc_3082,Nimāparha,fh_48,Development of Stage-II Fishing Harbour at Nuagarh (Astranga),fishing_harbour,35.1
loc_3082,Nimāparha,port_07,Paradip Port,port,76.7
loc_3088,Vakkam,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,9.49
loc_3088,Vakkam,fh_30,Maintenance dredging of existing harbor in Kayamkulam,fishing_harbour,62.45
loc_3088,Vakkam,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,77.22
loc_3088,Vakkam,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,61.58
loc_3089,Ezhome,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,61.14
loc_3089,Ezhome,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,93.39
